Date,Check Number,Description,Debit,Credit,Running Balance

09/22/2005,,ITT ADVANCED ENGPAYROLL,,$3293.43,$16860.39
09/22/2005,0006613,CHECK,$120.00,,$16740.39
09/26/2005,,DEPOSIT,,$416.20,$17156.59
09/26/2005,,SHOPPERS FOOD/PHARM 26,$20.19,,$17136.40
09/26/2005,0006616,CHECK,$68.00,,$17068.40
09/27/2005,6619,AMERICAN EXPRESSCHECK PYMT,$875.00,,$16193.40
09/27/2005,,POTOMAC RUN 1,$60.00,,$16133.40
09/27/2005,0006608,CHECK,$75.00,,$16058.40
09/27/2005,0006606,CHECK,$80.00,,$15978.40
09/28/2005,0006618,CHECK,$50.00,,$15928.40
09/28/2005,0006617,CHECK,$69.00,,$15859.40
09/28/2005,0006621,CHECK,$107.00,,$15752.40
09/28/2005,0006599,CHECK,$450.00,,$15302.40
09/28/2005,0006614,CHECK,$475.00,,$14827.40
09/28/2005,0006620,CHECK,$2207.00,,$12620.40
10/03/2005,,POTOMAC RUN 2,$20.00,,$12600.40
10/03/2005,0006596,CHECK,$10.00,,$12590.40
10/05/2005,,POTOMAC RUN 2,$20.00,,$12570.40
10/05/2005,0006600,CHECK,$850.00,,$11720.40
10/05/2005,0006615,CHECK,$850.00,,$10870.40
10/06/2005,,ITT ADVANCED ENGPAYROLL,,$3098.21,$13968.61
10/06/2005,0006622,CHECK,$150.00,,$13818.61
10/07/2005,0006623,CHECK,$41.00,,$13777.61
10/07/2005,,CHECK,$39.00,,$13738.61
10/11/2005,,POTOMAC RUN 2,$160.00,,$13578.61
10/11/2005,0006627,CHECK,$45.84,,$13532.77
10/11/2005,0006628,CHECK,$16.40,,$13516.37
10/11/2005,0006626,CHECK,$17.55,,$13498.82
10/12/2005,,PROGRESSIVE INS.INS PREM,$306.80,,$13192.02
10/13/2005,0006629,CHECK,$39.80,,$13152.22
10/14/2005,0006632,CHECK,$21.05,,$13131.17
10/17/2005,0006631,CHECK,$9.64,,$13121.53
10/17/2005,0006630,CHECK,$14.27,,$13107.26
10/18/2005,6641,DOM VA NC POWER BILLPYMT,$155.00,,$12952.26
10/18/2005,6637,AMERICAN EXPRESSCHECK PYMT,$1171.00,,$11781.26
10/18/2005,0006634,CHECK,$36.72,,$11744.54
10/18/2005,0006638,CHECK,$49.00,,$11695.54
10/18/2005,0006633,CHECK,$116.60,,$11578.94
10/18/2005,0006636,CHECK,$300.00,,$11278.94
10/19/2005,0006646,CHECK,$16.00,,$11262.94
10/19/2005,0006624,CHECK,$28.00,,$11234.94
10/19/2005,0006645,CHECK,$117.00,,$11117.94
10/20/2005,,ITT ADVANCED ENGPAYROLL,,$3776.96,$14894.90
10/20/2005,0006644,CHECK,$8.43,,$14886.47
10/20/2005,0006639,CHECK,$15.00,,$14871.47
10/20/2005,0006643,CHECK,$25.52,,$14845.95
10/20/2005,0006625,CHECK,$80.00,,$14765.95
10/21/2005,,INTEREST PAYMENT,,$1.13,$14767.08
10/21/2005,,DEPOSIT,,$500.00,$15267.08
10/21/2005,,DULLES VILLAGE 2,$160.00,,$15107.08
10/21/2005,0006647,CHECK,$321.95,,$14785.13

	
