Date,Check Number,Description,Debit,Credit,Running Balance

10/24/2005,,SFWY 1084 PIDGEON HILL,$40.00,,$14745.13
10/24/2005,0006640,CHECK,$64.00,,$14681.13
10/25/2005,,HERNDON SAFEWAY,$40.00,,$14641.13
10/25/2005,0006650,CHECK,$71.00,,$14570.13
10/26/2005,0006649,CHECK,$1162.00,,$13408.13
10/27/2005,,DEPOSIT,,$216.01,$13624.14
10/27/2005,,POTOMAC RUN 1,$200.00,,$13424.14
10/27/2005,0006612,CHECK,$57.00,,$13367.14
10/27/2005,0006642,CHECK,$440.00,,$12927.14
10/27/2005,0006651,CHECK,$520.00,,$12407.14
10/28/2005,,HERNDON SAFEWAY,$40.00,,$12367.14
10/28/2005,,HERNDON SAFEWAY,$40.00,,$12327.14
10/31/2005,,DEPOSIT,,$138.52,$12465.66
11/01/2005,,OTHER ATM NETWORK FEE,$2.00,,$12463.66
11/01/2005,,CHEVY CHASE FED,$62.00,,$12401.66
11/02/2005,0006656,CHECK,$27.03,,$12374.63
11/02/2005,0006635,CHECK,$850.00,,$11524.63
11/02/2005,0006653,CHECK,$850.00,,$10674.63
11/03/2005,,ITT ADVANCED ENGPAYROLL,,$3241.77,$13916.40
11/03/2005,0006654,CHECK,$100.00,,$13816.40
11/04/2005,0006655,CHECK,$30.00,,$13786.40
11/07/2005,,DEPOSIT,,$296.29,$14082.69
11/07/2005,,COUNTRYSIDE,$60.00,,$14022.69
11/07/2005,0006657,CHECK,$27.71,,$13994.98
11/08/2005,0006662,CHECK,$10.00,,$13984.98
11/09/2005,0006664,CHECK,$27.27,,$13957.71
11/09/2005,,CHECK,$39.00,,$13918.71
11/10/2005,,PROGRESSIVE INS.INS PREM,$306.80,,$13611.91
11/10/2005,0006666,CHECK,$37.60,,$13574.31
11/10/2005,0006665,CHECK,$1455.00,,$12119.31
11/14/2005,,POTOMAC RUN 2,$40.00,,$12079.31
11/14/2005,,POTOMAC RUN 2,$120.00,,$11959.31
11/14/2005,0006671,CHECK,$20.11,,$11939.20
11/14/2005,0006663,CHECK,$31.90,,$11907.30
11/14/2005,0006670,CHECK,$72.60,,$11834.70
11/14/2005,0006660,CHECK,$25.00,,$11809.70
11/15/2005,,POTOMAC RUN 2,$40.00,,$11769.70
11/15/2005,0006668,CHECK,$13.40,,$11756.30
11/15/2005,0006669,CHECK,$22.70,,$11733.60
11/15/2005,0006659,CHECK,$400.00,,$11333.60
11/16/2005,0006672,CHECK,$270.00,,$11063.60
11/17/2005,,ITT ADVANCED ENGPAYROLL,,$3644.02,$14707.62
11/17/2005,0006677,CHECK,$15.00,,$14692.62
11/17/2005,0006678,CHECK,$65.00,,$14627.62
11/18/2005,,INTEREST PAYMENT,,$1.00,$14628.62
11/18/2005,0006675,WASH GAS UTILITYCHECKPAYMT,$77.00,,$14551.62
