Date,Check Number,Description,Debit,Credit,Running Balance

11/21/2005,6674,DOM VA NC POWER BILLPYMT,$106.00,,$14445.62
11/21/2005,,SFWY 1084 PIDGEON HILL,$60.00,,$14385.62
11/21/2005,0006686,CHECK,$20.00,,$14365.62
11/21/2005,0006658,CHECK,$25.00,,$14340.62
11/22/2005,0006684,CHECK,$50.00,,$14290.62
11/22/2005,0006676,CHECK,$147.00,,$14143.62
11/23/2005,0006691,CHECK,$21.94,,$14121.68
11/23/2005,0006693,CHECK,$22.98,,$14098.70
11/25/2005,,COUNTRYSIDE,$100.00,,$13998.70
11/25/2005,,COUNTRYSIDE,$220.00,,$13778.70
11/25/2005,0006681,CHECK,$80.00,,$13698.70
11/25/2005,0006685,CHECK,$100.00,,$13598.70
11/25/2005,0006694,CHECK,$1400.00,,$12198.70
11/28/2005,6689,AMERICAN EXPRESSCHECK PYMT,$755.00,,$11443.70
11/28/2005,0006692,CHECK,$40.27,,$11403.43
11/28/2005,0006690,CHECK,$1646.00,,$9757.43
11/30/2005,,DEPOSIT,,$170.00,$9927.43
11/30/2005,0006695,CHECK,$21.30,,$9906.13
12/01/2005,,ITT ADVANCED ENGPAYROLL,,$3414.18,$13320.31
12/01/2005,0006680,CHECK,$120.00,,$13200.31
12/01/2005,0006696,CHECK,$338.58,,$12861.73
12/02/2005,6702,OLD NAVY #5530  PURCHASE,$100.15,,$12761.58
12/02/2005,,POTOMAC RUN 2,$20.00,,$12741.58
12/02/2005,,POTOMAC RUN 2,$60.00,,$12681.58
12/02/2005,0006697,CHECK,$55.30,,$12626.28
12/05/2005,,POTOMAC RUN 2,$20.00,,$12606.28
12/05/2005,0006701,CHECK,$11.84,,$12594.44
12/05/2005,0006700,CHECK,$80.00,,$12514.44
12/05/2005,0006699,CHECK,$109.00,,$12405.44
12/05/2005,0006698,CHECK,$400.00,,$12005.44
12/06/2005,0006705,CHECK,$440.00,,$11565.44
12/06/2005,0006673,CHECK,$850.00,,$10715.44
12/06/2005,0006688,CHECK,$850.00,,$9865.44
12/07/2005,6709,DOM VA NC POWER BILLPYMT,$111.00,,$9754.44
12/07/2005,,CHECK,$39.00,,$9715.44
12/07/2005,0006707,CHECK,$70.00,,$9645.44
12/07/2005,0006704,CHECK,$72.37,,$9573.07
12/08/2005,0006667,CHECK,$10.00,,$9563.07
12/08/2005,0006710,CHECK,$20.00,,$9543.07
12/08/2005,0006714,CHECK,$300.00,,$9243.07
12/09/2005,0006713,CHECK,$103.10,,$9139.97
12/09/2005,0006712,CHECK,$167.97,,$8972.00
12/12/2005,,DEPOSIT,,$70.00,$9042.00
12/12/2005,,PROGRESSIVE INS.INS PREM,$306.80,,$8735.20
12/12/2005,,COUNTRYSIDE,$40.00,,$8695.20
12/12/2005,0006708,CHECK,$15.00,,$8680.20
12/12/2005,0006703,CHECK,$22.05,,$8658.15
12/12/2005,0006711,CHECK,$241.92,,$8416.23
12/13/2005,0006719,CHECK,$25.00,,$8391.23
12/13/2005,0006715,CHECK,$90.63,,$8300.60
12/14/2005,0006717,CHECK,$100.00,,$8200.60
12/15/2005,,ITT ADVANCED ENGPAYROLL,,$3621.31,$11821.91
12/15/2005,0006721,CHECK,$17.06,,$11804.85
12/15/2005,0006720,CHECK,$70.00,,$11734.85
12/19/2005,,POTOMAC RUN 2,$40.00,,$11694.85
12/19/2005,0006716,CHECK,$80.00,,$11614.85
12/19/2005,0006718,CHECK,$270.00,,$11344.85
12/20/2005,,OTHER ATM NETWORK FEE,$2.00,,$11342.85
12/20/2005,,INTEREST PAYMENT,,$1.00,$11343.85
12/20/2005,6726,WASH GAS UTILITYCHECKPAYMT,$164.00,,$11179.85
12/20/2005,,BRANCH BANKING,$202.00,,$10977.85
12/20/2005,0006724,CHECK,$64.00,,$10913.85

	
