Date,Check Number,Description,Debit,Credit,Running Balance

09/20/2007,0007343,CHECK,$46.00,,$8200.87
09/24/2007,,DEPOSIT,,$71.50,$8272.37
09/24/2007,0007345,Wash Gas UtilityCHECK PYMT,$32.00,,$8240.37
09/24/2007,,POTOMAC RUN #1,$100.00,,$8140.37
09/24/2007,0007344,CHECK,$15.00,,$8125.37
09/24/2007,0007349,CHECK,$29.00,,$8096.37
09/24/2007,0007342,CHECK,$77.00,,$8019.37
09/24/2007,0007346,CHECK,$2697.00,,$5322.37
09/25/2007,0007348,CHASE           CHECK PYMT,$50.00,,$5272.37
09/25/2007,0007347,VZ WIRELESS ARC ARC,$102.00,,$5170.37
09/26/2007,,STATE FARM RO 27SFPP,$265.44,,$4904.93
09/27/2007,0007350,CHECK,$400.00,,$4504.93
09/28/2007,,FIDELITY EMP SVCZETA,,$8020.92,$12525.85
10/01/2007,,DEPOSIT,,$62.31,$12588.16
10/01/2007,,POTOMAC RUN #2,$60.00,,$12528.16
10/02/2007,,CNS RITE AID CORP. 431,$28.54,,$12499.62
10/02/2007,0007326,CHECK,$10.00,,$12489.62
10/03/2007,0007353,CHASE           CHECK PYMT,$2063.00,,$10426.62
10/03/2007,0007352,CHECK,$50.00,,$10376.62
10/03/2007,0007355,CHECK,$1550.00,,$8826.62
10/05/2007,,FAIR OAKS,$40.00,,$8786.62
10/05/2007,,SOU GIANT FOOD INC 160,$43.70,,$8742.92
10/05/2007,0007356,CHECK,$300.00,,$8442.92
10/09/2007,,NON SUNTRUST ATM FEE,$2.00,,$8440.92
10/09/2007,,DEPOSIT,,$27.00,$8467.92
10/09/2007,,DEPOSIT,,$85.50,$8553.42
10/09/2007,,DEPOSIT,,$145.00,$8698.42
10/09/2007,,COUNTRYSIDE,$300.00,,$8398.42
10/09/2007,,POTOMAC RUN #2,$460.00,,$7938.42
10/09/2007,,00051000017,$62.00,,$7876.42
10/09/2007,0007354,CHECK,$25.00,,$7851.42
10/10/2007,0007357,DOM VA NC POWER BILLPYMT,$162.00,,$7689.42
10/10/2007,0007358,CHECK,$63.00,,$7626.42
10/11/2007,,TARGET T2272 STERLING,$63.51,,$7562.91
10/11/2007,0007361,CHECK,$1040.00,,$6522.91
10/12/2007,0007360,Wash Gas UtilityCHECK PYMT,$41.00,,$6481.91
10/12/2007,0007359,CHECK,$15.00,,$6466.91
10/12/2007,0007364,CHECK,$74.00,,$6392.91
10/15/2007,,CICIS CHANTILLY,$29.34,,$6363.57
10/15/2007,,OLD NAVY USA,$33.71,,$6329.86
10/16/2007,,ECKERD CORPORATI 46965,$20.19,,$6309.67
10/16/2007,,TARGET T1009 STERLING,$24.33,,$6285.34
10/18/2007,,NPM INC,$1.25,,$6284.09
10/18/2007,,SOU GIANT FOOD INC 962,$53.13,,$6230.96
10/18/2007,0007351,CHECK,$115.00,,$6115.96
10/19/2007,,INTEREST PAYMENT,,$0.65,$6116.61
