Date,Check Number,Description,Debit,Credit,Running Balance

11/20/2007,0007386,CHECK,$62.00,,$10509.14
11/20/2007,0007387,CHECK,$3985.00,,$6524.14
11/21/2007,0007385,CHECK,$15.00,,$6509.14
11/23/2007,,POTOMAC RUN #2,$120.00,,$6389.14
11/26/2007,,PLAZA AMERICA #1,$60.00,,$6329.14
11/26/2007,,SOU GIANT FOOD INC 032,$48.59,,$6280.55
11/27/2007,,STATE FARM RO 27SFPP,$265.44,,$6015.11
11/28/2007,,TRADER JOE'S # 646 446,$60.24,,$5954.87
11/29/2007,,TARGET T1088 RESTON,$56.67,,$5898.20
11/29/2007,0007384,CHECK,$8.00,,$5890.20
11/30/2007,,FIDELITY EMP SVCZETA,,$9478.99,$15369.19
11/30/2007,0007388,CHECK,$40.00,,$15329.19
12/03/2007,,SHOPPERS FOOD/PHARM 26,$49.90,,$15279.29
12/04/2007,0007338,CHECK,$68.00,,$15211.29
12/05/2007,0007395,DOM VA NC POWER BILLPYMT,$105.00,,$15106.29
12/05/2007,0007391,CHECK,$1700.00,,$13406.29
12/06/2007,,CHASE           CHECK PYMT,$49.00,,$13357.29
12/06/2007,0007393,VZ WIRELESS ARC ARC,$104.00,,$13253.29
12/06/2007,0007396,CHECK,$300.00,,$12953.29
12/10/2007,0007394,CHASE           CHECK PYMT,$1131.00,,$11822.29
12/10/2007,,COUNTRYSIDE,$100.00,,$11722.29
12/10/2007,0007367,CHECK,$40.00,,$11682.29
12/10/2007,0007397,CHECK,$330.00,,$11352.29
12/10/2007,0007398,CHECK,$500.00,,$10852.29
12/10/2007,0007389,CHECK,$1190.00,,$9662.29
12/12/2007,,POTOMAC RUN #2,$300.00,,$9362.29
12/14/2007,,HARRIS TEETER #0081,$108.72,,$9253.57
12/18/2007,,INTEREST PAYMENT,,$0.79,$9254.36
